User_Tweet,Company_Reply,Expected_Intent,Expected_Action (auto_handle/escalate)
@AppleSupport @400556 I downloaded new version and now my phone doesn’t ring and can’t hear message text..I checked ringer it rings when I turn up help,@400557 Let us help you sort this out. Join us in DM so we may better assist you: https://t.co/GDrqU22YpT,Software Bug,auto_handle
So the new @115858 iOS11 feature that stops apps from requesting rating reviews is working great. And by that I mean #notworkingatall,"@370005 We're here to help. Let's check Settings &gt; iTunes &amp; App Store. Is the ""In-App Ratings and Reviews"" switch already off?",Feature Inquiry,escalate
"It’s so embarrassing. 🙄😢 Fix I️t, @115858! https://t.co/wlSoFx3jA7",@528343 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,Software Bug,auto_handle
@AppleSupport I deleted both and reinstalled and now they are working with “hey Siri”,@240351 Excellent. We're glad to hear it's been sorted out.,Software Bug,escalate
".@115858, your update has brought my phone to a hault. I can’t even do the basic function of a phone- make calls. I bought this phone less than 5 months ago. You’ve had months to fix this, to no avail. I will never buy another one of your products again.","@770207 Thanks for reaching out to us, we can help you with your slowness issue. What iPhone and model are you using and which iOS version is it running? 

How to find the iOS version: https://t.co/ZTw54HL4Rm",Software Bug,escalate
@115858 y’all need to fix this iOS 11 shii,@500019 We'd like to help. What's going on?,Software Bug,escalate
"@AppleSupport Hi! Where it’s place in the screen. Unless this is a new thing which needs some getting used to. Before ios11.1, it popped in the center.",@470012 Thanks for the clarity! This is normal and something you'll want to adjust to on iOS 11.1.,Feature Inquiry,escalate
My lord did @AppleSupport #Apple screw up the #iPhone6Plus with #IOS11 ! #Siri is slug its so slow. #Tech #smartphone,@592764 Let's help take a closer look and get Siri working smoothly. Please DM us the version of iOS 11 you're using. https://t.co/GDrqU22YpT,Software Bug,escalate
@AppleSupport Battery doesn’t last half a day at college and I barely use it at all. WiFi should just be disabled via the slide up menu.,@179963 Which version of iOS 11 are you using? Check Settings &gt; General &gt; About and let us know in DM. https://t.co/GDrqU22YpT,Battery Issue,escalate
Why does my my phone keep changing “it” to I.T ?  Apple what are you doing? @AppleSupport @115858  get I.T together 🙄,@722986 Let’s dig a little deeper to see what we can find out. DM us your current iOS version. We’ll continue working with you there. https://t.co/GDrqU22YpT,Software Bug,auto_handle
@115858 Serious issues as soon as OS 11 is updated.. is it a ploy to push one to upgrade?,"@326639 We're here to help. Please let us know what symptoms you've encountered, and which iOS 11 version number is installed currently.",Software Bug,escalate
Found a bug in the iOS 11 calculator software. @116333 1+2+3=24!?🤔 @AppleSupport,@362815 Let's look into this for you. Send us a DM and we can check on available options. https://t.co/GDrqU22YpT,Software Bug,auto_handle
"My new #iPadPro seems to be having trouble waking up and switching on. Anyone else having this issue?

@115858 @AppleSupport",@418652 Have you updated to iOS 11.0.3? https://t.co/80YRnjDFDk Send us a DM and let us know some more details. https://t.co/GDrqU22YpT,Hardware Defect,escalate
"@AppleSupport Houston, TX, USA",@129828 Thank you for the DM. We'll continue working with you there.,Account Support,auto_handle
"@AppleSupport Hi, do you have french support ?
I want to change my delivery address on an order placed
Thanls",@129040 We'd be happy to get you pointed in the right direction. Could you DM us what country you are in? https://t.co/GDrqU22YpT,Account Support,escalate
My phone would mess up around this time smh @AppleSupport,"@277616 We're here for you. What's happening with your iPhone? Which iPhone do you have, and what's the iOS version you're running in Settings &gt; General &gt; About &gt; Version?",Software Bug,escalate
@AppleSupport can you please follow me I want to raise an issue. I can't cancel a payment that you just debited,@813687 We can help you with this. DM us and let us know what the payment is for and we can look into it. https://t.co/GDrqU22YpT,Account Support,escalate
Wow I really just love when my battery is almost full but then I use @917 a few times &amp; it makes my phone crash and restart and wipe my battery down to 10% it just makes my day thanks @115858 I love iPhones 😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊,@766322 We want to help. Reach out via DM and let us know what version of iOS you have installed. You can check by tapping Settings &gt; General &gt; About. https://t.co/GDrqU22YpT,Battery Issue,auto_handle
Fix your shit @115858 https://t.co/lxMjB17S2e,@513678 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,Software Bug,auto_handle
@AppleSupport WTF APPLE WHY EVERY TIME I TYPE I ITS A QUESTION MARK 😑😑😑,@525659 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,Software Bug,auto_handle
